,Candidates,Race,Party
0,RomneyR_12G_President,White,R
1,ObamaD_12G_President,Black,D
2,CruzR_12G_US_Sen,Hispanic,R
3,SadlerD_12G_US_Sen,White,D
4,AllenD_12P_US_Sen,Black,D
5,HubbardD_12P_US_Sen,White,D
6,SadlerD_12P_US_Sen,White,D
7,YarbroughD_12P_US_Sen,Black,D
8,SadlerD_12R_US_Sen,White,D
9,YarbroughD_12R_US_Sen,Black,D
10,MillerR_14G_Ag_Comm,White,R
11,HoganD_14G_Ag_Comm,White,D
12,PaxtonR_14G_Attorney Gen,White,R
13,HoustonD_14G_Attorney Gen,White,D
14,HegarR_14G_Comptroller,White,R
15,CollierD_14G_Comptroller,White,D
16,AbbottR_14G_Governor,White,R
17,DavisD_14G_Governor,White,D
18,BushR_14G_Land_Comm,Hispanic,R
19,CookD_14G_Land_Comm,White,D
20,PatrickR_14G_Lt_Governor,White,R
21,Van De PutteD_14G_Lt_Governor,Hispanic,D
22,CornynR_14G_US_Sen,White,R
23,AlameelD_14G_US_Sen,White,D
24,FitzsimonsD_14P_Ag_Comm,White,D
25,HoganD_14P_Ag_Comm,White,D
26,FriedmanD_14P_Ag_Comm,White,D
27,MadrigalD_14P_Governor,Hispanic,D
28,DavisD_14P_Governor,White,D
29,AlameelD_14P_US_Sen,White,D
30,KimD_14P_US_Sen,Asian,D
31,RogersD_14P_US_Sen,Black,D
32,ScherrD_14P_US_Sen,White,D
33,FjetlandD_14P_US_Sen,White,D
34,FriedmanD_14R_Ag_Comm,White,D
35,HoganD_14R_Ag_Comm,White,D
36,AlameelD_14R_US_Sen,White,D
37,RogersD_14R_US_Sen,Black,D
38,ClintonD_16G_President,White,D
39,TrumpR_16G_President,White,R
40,JuddD_16P_President,White,D
41,De La FuenteD_16P_President,Hispanic,D
42,ClintonD_16P_President,White,D
43,LockeD_16P_President,White,D
44,OMalleyD_16P_President,White,D
45,SandersD_16P_President,White,D
46,WIlsonD_16P_President,Black,D
47,HawesD_16P_President,Other,D
48,MillerR_18G_Ag_Comm,White,R
49,OlsonD_18G_Ag_Comm,White,D
50,PaxtonR_18G_Attorney Gen,White,R
51,NelsonD_18G_Attorney Gen,White,D
52,HegarR_18G_Comptroller,White,R
53,ChevalierD_18G_Comptroller,Black,D
54,AbbottR_18G_Governor,White,R
55,ValdezD_18G_Governor,Hispanic,D
56,BushR_18G_Land_Comm,Hispanic,R
57,SuazoD_18G_Land_Comm,Hispanic,D
58,PatrickR_18G_Lt_Governor,White,R
59,CollierD_18G_Lt_Governor,White,D
60,CruzR_18G_US_Sen,Hispanic,R
61,ORourkeD_18G_US_Sen,White,D
62,MahoneyD_18P_Comptroller,White,D
63,ChevalierD_18P_Comptroller,Black,D
64,WakelyD_18P_Governor,White,D
65,ClarkD_18P_Governor,Other,D
66,PayneD_18P_Governor,White,D
67,YarbroughD_18P_Governor,Black,D
68,DavisD_18P_Governor,Black,D
69,OceguedaD_18P_Governor,Hispanic,D
70,ValdezD_18P_Governor,Hispanic,D
71,WhiteD_18P_Governor,White,D
72,MumbachD_18P_Governor,White,D
73,SuazoD_18P_Land_Comm,Hispanic,D
74,MorganD_18P_Land_Comm,White,D
75,CooperD_18P_Lt_Governor,Black,D
76,CollierD_18P_Lt_Governor,White,D
77,KimbroughD_18P_US_Sen,Black,D
78,HernandezD_18P_US_Sen,Hispanic,D
79,ORourkeD_18P_US_Sen,White,D
80,ValdezD_18R_Governor,Hispanic,D
81,WhiteD_18R_Governor,White,D
82,CraddickR_18G_RR_Comm_1,White,R
83,McAllenD_18G_RR_Comm_1,Hispanic,D
84,McAllenD_18P_RR_Comm_1,Hispanic,D
85,SpellmonD_18P_RR_Comm_1,Black,D
86,YarbroughD_16G_RR_Comm_1,Black,D
87,ChristianR_16G_RR_Comm_1,White,R
88,GarrettD_16R_RR_Comm_1,White,D
89,YarbroughD_16R_RR_Comm_1,Black,D
90,GarrettD_16P_RR_Comm_1,White,D
91,YarbroughD_16P_RR_Comm_1,Black,D
92,BurnamD_16P_RR_Comm_1,White,D
93,SittonR_14G_RR_Comm_3,White,R
94,BrownD_14G_RR_Comm_3,Black,D
95,HenryD_14P_RR_Comm_3,White,D
96,BrownD_14P_RR_Comm_3,Black,D
97,CraddickR_12G_RR_Comm_1,White,R
98,HenryD_12G_RR_Comm_1,White,D
99,HenryD_12P_RR_Comm_1,White,D
100,ElyD_12P_President,White,D
101,WolfeD_12P_President,White,D
102,RichardsonD_12P_President,White,D
103,ObamaD_12P_President,Black,D
